Tool,Soffa,,Selforacle 9999 - simple VAE,,Human,,,,,,,
,ID,OOD,ID,OOD,ID,OOD,Disaagreement,Agreement,%ID ,%OOD,True Misclassifications,
DJ,0,100,0,0,46,30,24,76,"60,52631579","39,47368421","8,695652174",4
DLF,100,0,0,0,70,3,27,73,"95,89041096","4,109589041",50,26
DX,51,49,0,0,52,16,32,68,"76,47058824","23,52941176","78,84615385",41
FP,99,1,0,0,61,14,25,75,"81,33333333","18,66666667","45,90163934",28
SV,100,0,0,0,67,7,26,74,"90,54054054","9,459459459","8,955223881",6
TOT,70,30,0,0,"59,2",14,"26,8","73,2","80,95223777","19,04776223","38,47973385",
